,Class
1726,small
1728,small
1730,small
1731,small
1732,small
1733,small
1734,small
1735,small
1736,small
1738,small
1739,small
1740,small
1741,small
1742,small
1743,small
1744,small
1745,small
1747,small
1748,small
1749,small
1750,small
1752,small
1754,small
1757,small
1758,small
1759,small
1761,small
1763,small
1764,small
1765,small
1770,small
1772,medium
1775,small
1776,small
1779,small
1780,small
1782,small
1783,small
1785,small
1786,small
1788,small
1789,small
1793,small
1794,small
1798,small
1799,small
1801,small
1802,small
1803,medium
1804,small
1805,small
1810,small
1811,small
1813,small
1814,small
1815,small
1816,small
1817,small
1818,small
1819,small
1821,small
1822,small
1824,small
1825,small
1826,small
1827,small
1828,small
1829,small
1832,small
1833,small
1834,small
1835,small
1837,small
1839,small
1840,small
1841,small
1843,small
1844,small
1845,small
1846,small
1848,small
1853,small
1854,small
1855,small
1859,small
1861,small
1865,small
1867,small
1869,small
1874,small
1876,small
1877,small
1878,small
1879,small
1880,small
1882,small
1883,small
1884,small
1886,small
1887,small
1888,small
1889,small
1890,small
1893,small
1894,small
1895,small
1896,small
1898,small
1899,small
1900,small
1901,small
1902,small
1906,small
1907,small
1909,small
1911,small
1913,small
1916,small
1918,small
1921,small
1922,small
1924,small
1925,small
1926,small
1927,small
1929,small
1930,small
1931,small
1934,small
1935,small
1936,small
1937,small
1938,small
1940,small
1941,small
1942,small
1943,medium
1944,small
1945,small
1946,small
1950,small
1953,small
1955,small
1956,small
1957,small
1959,small
1961,small
1962,small
1963,small
1964,small
1965,small
1968,small
1969,small
1971,small
1972,small
1973,small
1974,small
1976,small
1980,small
1981,small
1983,small
1984,small
1985,small
1986,small
1988,small
1992,small
1993,small
1995,small
1996,small
1999,small
2000,small
2001,small
2002,small
2003,small
2004,small
2006,small
2007,small
2008,small
2009,small
2010,small
2011,small
2014,small
2015,small
2016,small
2018,small
2020,small
2021,small
2022,small
2024,small
2025,small
2029,small
2031,small
2032,small
2035,small
2037,small
2039,small
2041,small
2042,small
2046,small
2049,small
2050,small
2051,small
2052,small
2053,small
2054,small
2055,small
2056,small
2059,small
2063,small
2064,small
2065,small
2068,small
2069,small
2072,small
2073,small
2077,small
2079,small
2083,small
2084,small
2085,small
2088,small
2089,small
2090,small
2091,small
2094,small
2095,small
2097,small
2098,small
2099,small
2100,small
2101,small
2102,small
2103,small
2104,small
2105,small
2106,small
2108,small
2109,small
2112,small
2114,small
2116,small
2118,small
2119,small
2120,small
2122,small
2124,small
2125,small
2128,small
2129,small
2132,small
2134,small
2135,small
2138,small
2141,small
2142,small
2143,small
2145,small
2146,small
2147,small
2148,small
2149,small
2150,small
2153,small
2156,small
2159,small
2160,small
2164,small
2165,small
2171,small
2172,small
2174,small
2180,small
2188,small
2191,small
2196,small
2197,small
2201,small
2203,small
2205,small
2207,small
2208,small
2209,small
2210,small
2211,small
2212,small
2214,small
2217,medium
2219,small
2222,small
2223,small
2225,small
2227,small
2228,small
2233,small
2234,small
2235,small
2240,small
2242,small
2244,small
2247,small
2248,small
2249,small
2250,small
2251,small
2253,small
2256,small
2257,small
2258,small
2259,small
2260,small
2264,small
2265,small
2268,small
2269,small
2271,small
2272,small
2273,small
2274,small
2275,small
2276,small
2277,small
2278,small
2279,small
2280,small
2281,small
2284,small
2286,small
2287,small
2288,small
2289,small
2290,small
2292,small
2293,small
2294,small
2296,small
2297,small
2298,small
2299,small
2301,small
2302,small
2305,small
2307,small
2308,small
2309,small
2310,small
2311,small
2312,small
2313,small
2314,small
2315,small
2316,small
2317,small
2318,small
2319,small
2320,medium
2321,small
2323,small
2326,small
2330,small
2332,small
2333,small
2334,small
2335,small
2336,small
2339,small
2340,small
2341,small
2342,small
2345,small
2350,small
2354,small
2355,small
2356,small
2363,small
2364,small
2367,small
2368,small
2369,small
2372,small
2382,small
2383,small
2384,small
2388,small
2390,medium
2391,small
2393,small
2395,small
2396,small
2397,small
2398,small
2402,small
2403,small
2405,small
2407,small
2409,small
2411,small
2412,small
2413,small
2415,small
2416,small
2417,small
2425,small
2426,small
2429,small
2433,small
2434,small
2435,small
2436,small
2438,small
2440,small
2444,small
2446,small
2447,small
2448,small
2451,small
2454,medium
2456,small
2457,small
2460,small
2461,small
2466,small
2467,small
2469,small
2472,small
2473,small
2474,small
2475,small
2479,medium
2483,small
2484,small
2486,small
2487,small
2488,small
2489,small
2490,small
2491,small
2493,small
2494,small
2495,small
2496,small
2498,small
2500,small
2505,small
2511,small
2514,small
2517,small
2519,small
2520,small
2522,small
2524,small
2526,small
2528,small
2531,small
2534,small
2535,small
2536,small
2539,small
2540,small
2541,small
2542,small
2549,small
2551,small
2554,small
2556,small
2557,small
2559,small
2561,small
2562,small
2566,small
2568,small
2569,small
2570,small
2573,small
2574,small
2575,small
2576,small
2578,medium
2579,small
2580,small
2582,small
2586,small
2587,small
2588,small
2589,small
2591,medium
2593,small
2594,medium
2596,small
2598,small
2599,small
2601,small
2602,small
2603,small
2606,small
2607,small
2608,small
2609,small
2611,small
2613,small
2614,small
2615,small
2616,small
2617,small
2620,small
2621,small
2624,small
2625,small
2626,small
2629,small
2630,small
2631,small
2633,small
2634,medium
2637,small
2639,small
2640,small
2641,small
2642,small
2643,small
2644,small
2647,small
2650,small
2651,medium
2654,small
2655,small
2656,small
2657,medium
2658,small
2659,small
2661,small
2662,small
2664,small
2665,small
2666,small
2668,small
2669,small
2670,small
2672,small
2675,small
2676,small
2679,small
2681,small
2683,small
2684,small
2687,small
2688,small
2689,small
2690,small
2691,small
2692,small
2694,small
2695,small
2696,small
2698,small
2699,small
2700,small
2701,small
2702,small
2703,small
2705,small
2706,small
2707,small
2708,small
2709,small
2711,small
2714,small
2715,small
2716,small
2717,small
2718,small
2720,small
2721,small
2722,small
2723,small
2724,small
2725,small
2726,small
2727,medium
2728,small
2729,small
2730,small
2731,small
2733,small
2735,small
2736,small
2737,small
2738,small
2739,small
2740,small
2741,small
2742,small
2743,small
2746,small
2748,small
2749,small
2750,small
2754,small
2755,small
2757,small
2759,medium
2761,small
2762,small
2763,small
2766,small
2769,small
2772,small
2773,small
2776,small
2778,small
2779,small
2780,small
2781,small
2788,small
2791,small
2792,small
2795,small
2796,small
2798,small
2803,small
2804,small
2805,small
2807,small
2808,small
2809,small
2810,small
2811,small
2812,small
2814,small
2815,small
2817,small
2820,small
2823,small
2824,small
2825,small
2826,small
2827,small
2829,small
2830,small
2831,small
2832,small
2834,small
2835,small
2838,small
2844,small
2846,small
2847,small
2848,small
2849,small
2850,small
2851,small
2856,small
2857,small
2858,small
2859,small
2860,small
2862,small
2863,small
2865,small
2866,small
2867,small
2868,small
2869,small
2871,small
2872,small
2874,small
2875,medium
2876,small
2877,small
2878,small
2879,small
2883,small
2884,small
2885,small
2887,small
2888,small
2889,small
2891,small
2892,small
2894,small
2895,small
2897,small
2898,small
2899,small
2903,small
2904,small
2905,small
2906,small
2907,small
2909,small
2910,small
2911,small
2912,small
2918,small
2919,small
2920,small
2922,small
2923,small
2924,small
2925,small
2927,small
2928,small
2931,small
2933,small
2934,small
2935,small
2938,small
2939,small
2941,small
2942,small
2945,small
2947,small
2949,small
2950,small
2952,small
2954,small
2957,small
2958,small
2962,small
2963,small
2964,small
2965,small
2966,small
2967,small
2969,small
2970,small
2971,small
2972,small
2973,small
2974,small
2975,small
2976,small
2977,small
2978,small
2979,small
2980,small
2981,small
2982,small
2983,small
2984,small
2985,small
2986,small
2987,small
2989,small
2990,small
2992,small
2993,small
2995,small
2996,small
2997,small
2998,small
2999,small
3001,small
3002,small
3003,small
3004,small
3005,small
3006,small
3007,small
3008,small
3010,small
3011,small
3012,small
3013,small
3015,small
3016,small
3017,small
3018,small
3019,small
3020,small
3021,small
3022,small
3023,small
3024,small
3025,small
3027,small
3028,small
3029,small
3032,small
3033,small
3035,small
3037,small
3038,small
3039,small
3041,small
3044,small
3046,small
3047,small
3048,small
3049,small
3050,small
3051,small
3052,small
3053,small
3054,small
3055,small
3056,medium
3057,small
3058,small
3059,small
3061,small
3063,small
3064,small
3065,small
3066,small
3068,small
3069,small
3070,small
3071,small
3072,small
3073,small
3074,small
3075,small
3076,small
3078,small
3079,small
3080,small
3081,small
3082,small
3083,small
3084,small
3085,small
3087,small
3088,small
3089,small
3090,small
3091,small
3092,small
3094,small
3095,small
3096,small
3098,small
3100,small
3101,small
3102,small
3103,small
3104,small
3106,small
3107,small
3108,small
3109,small
3110,small
3111,small
3114,small
3115,small
3116,small
3117,small
3118,small
3122,small
3123,small
3124,small
3125,small
3126,small
3127,small
3128,small
3130,small
3134,small
3135,small
3136,small
3139,small
3141,small
3142,small
3143,small
3144,small
3145,small
3147,small
3148,small
3150,small
3151,small
3152,small
3154,small
3156,small
3157,small
3159,medium
3160,medium
3161,small
3162,small
3163,small
3165,small
3168,small
3169,small
3170,small
3172,small
3174,small
3175,small
3176,small
3178,small
3182,small
3184,small
3185,small
3188,small
3189,small
3190,small
3191,small
3192,small
3193,small
3194,small
3197,small
3198,small
3200,small
3201,small
3202,small
3203,small
3204,small
3205,small
3206,small
3208,small
3211,small
3212,small
3214,small
3215,small
3216,small
3217,small
3220,small
3221,small
3222,small
3223,small
3225,small
3227,small
3230,small
3231,small
3232,small
3235,medium
3236,small
3237,small
3238,small
3239,small
3240,small
3244,small
3247,small
3249,small
3251,small
3253,small
3254,small
3256,small
3257,small
3259,small
3261,small
3262,small
3263,small
3264,small
3266,small
3267,small
3268,small
3269,small
3270,small
3272,small
3273,small
3274,small
3275,small
3277,small
3278,small
3279,small
